"","SiteSubsite","LAT","LONG"
"1","ALEXFIORD:CASSIOPE_COVER",78.87448,-75.78341
"2","ATQASUK:RATE_BETULA_SHRUB",70.456021,-157.414293
"3","ATQASUK:RATE_CAREX_ WET_MEADOW",70.456021,-157.414293
"4","ATQASUK:RATE_DRYAS_HEATH",70.456021,-157.414293
"5","ATQASUK:RATE_ERIOPHORUM_WET_MEADOW",70.456021,-157.414293
"6","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW",70.456021,-157.414293
"7","BARROW:ARCTOPHILA_POND_ORDINATION",71.29,-156.64
"8","BARROW:CAREX WET MEADOW_ORDINATION",71.29,-156.64
"9","BARROW:CAREX_MESIC MEADOW_ORDINATION",71.29,-156.64
"10","BARROW:CAREX_MOIST MEADOW_ORDINATION",71.29,-156.64
"11","BARROW:CAREX_MOIST_MEADOW_MICROTOPO",71.29,-156.64
"12","BARROW:CAREX_WET_MEADOW_MICROTOPO",71.29,-156.64
"13","BARROW:DRY_HEATH_ORDINATION",71.29,-156.64
"14","BARROW:DUPONTIA_WET_MEADOW_MICROTOPO",71.29,-156.64
"15","FAROE:SORNFELLI",62.066667,-6.95
"16","SADVENT:MES_COVER",78.19,15.934
"17","SADVENT:WET_COVER",78.1899916,15.934124
"18","BILLEFJORDEN:AWS",78.71061,16.45535
"19","PYRAMIDEN:PYR",78.64935,16.19464
"20","FURI:FURI4",61.63542,12.6375
"21","FURI:FURI5",61.63542,12.6375
"22","FURI:FURI6",61.63542,12.6375
"23","LOGH:LOGH2",62.10253,12.34458
"24","LOGH:LOGH4",62.10253,12.34458
"25","LOGH:LOGH5",62.10253,12.34458
"26","LORI:LORI1",62.11508,12.27236
"27","LORI:LORI3",62.11508,12.27236
"28","LORI:LORI4",62.11508,12.27236
"29","RIRI:RIRI2",67.77306,17.53611
"30","RIRI:RIRI4",67.77306,17.53611
"31","RIRI:RIRI6",67.77306,17.53611
"32","AKUREYRI:GA66",65.59293,-17.97208
"33","AKUREYRI:HR58",65.56427,-18.1559
"34","AKUREYRI:MD72",65.51392,-18.0768
"35","AKUREYRI:SB63",65.44984,-18.24216
"36","AKUREYRI:SY59",65.50548,-18.22637
"37","BLONDUOS:SD33",65.50305,-20.22768
"38","BLONDUOS:SD34",65.50146,-20.22503
"39","DALSMYNNI:AG4",65.78468,-19.30559
"40","DALSMYNNI:KD24",65.77321,-19.02952
"41","DALSMYNNI:KD25",65.77286,-19.04222
"42","DALSMYNNI:KK5",65.80262,-19.36136
"43","HJARDARLAND:HA75",64.06638,-20.26565
"44","HJARDARLAND:HF73",64.03843,-20.27764
"45","HJARDARLAND:LH92",64.22035,-20.59859
"46","HJARDARLAND:SH90",63.97814,-20.56942
"47","HOLTAVORDUHEIDI:AH36",65.08352,-20.54624
"48","HOLTAVORDUHEIDI:AH37",65.06794,-20.58339
"49","HOLTAVORDUHEIDI:AH38",65.07728,-20.58907
"50","HOLTAVORDUHEIDI:VH49",65.22778,-20.43913
"51","HOLTAVORDUHEIDI:VH50",65.23772,-20.4487
"52","MODRUVELLIR:LH69",65.93894,-18.10823
"53","MODRUVELLIR:ML54",65.73728,-18.21928
"54","MODRUVELLIR:MV51",65.77726,-18.27375
"55","MODRUVELLIR:MV52",65.76853,-18.28029
"56","OXNADALSHEIDI:SA16",65.46684,-18.69754
"57","OXNADALSHEIDI:SA17",65.46596,-18.69386
"58","OXNADALSHEIDI:SA19",65.48131,-18.90435
"59","THYKKVIBAER:HH100",63.5641,-20.16786
"60","THYKKVIBAER:RT81",63.98622,-21.15821
"61","THYKKVIBAER:VE82",63.97085,-21.16772
"62","ABISKO:ABISKOWET_MULTE",68.20462,18.49582
"63","THUFUVER:PALSA",64.57,-18.6
"64","THUFUVER:SALIXHEATH",64.57,-18.6
"65","WOLFCREEK:WOLFCREEK",61.56,-135.13
"66","ZACKENBERG:SALIX_SITE",74.47508063,-20.54053855
"67","ABISKO:lower_forest",68.3284,18.8356
"68","ABISKO:lower_tundra",68.3244,18.8417
"69","ABISKO:upper_forest",68.3145,18.858
"70","ABISKO:upper_tundra",68.3133,18.863
"71","ADVENT:ADVENT_1",78.174119,16.018237
"72","ADVENT:ADVENT_2",78.17192,16.021313
"73","ADVENT:ADVENT_3",78.171112,16.029034
"74","ADVENT:ADVENT_4",78.168357,16.054887
"75","ADVENT:ADVENT_5",78.170617,16.052656
"76","ADVENT:ADVENT_6",78.171784,16.061398
"77","ADVENT:ADVENT_7",78.172873,16.067786
"78","DISKO:DISTURBANCE",69.27,-53.45
"79","KILPISJARVI:KILPISJARVI",69.068,20.8199
"80","LATNJA:DRY_HEATH",68.35572,18.49531
"81","LATNJA:DRY_MEADOW",68.35683,18.49756
"82","LATNJA:WET_MEADOW",68.3551536,18.4913635
"83","LATNJA:TUSSOCK_TUNDRA",68.3551536,18.4913635
"84","NAKKALA:8",68.837306,23.80475
"85","NAKKALA:9",68.835083,23.821889
"86","NAKKALA:10",68.834417,23.845139
"87","ABISKO:ABISKOWET_FLUX",68.20462,18.49582
"88","DISKO:DRYHEATH_FLUX",69.27,-53.45
"89","DISKO:WETFEN_FLUX",69.43,-53.78
"90","ZACKENBERG:SALIX_SITE_FLUX",74.47508063,-20.54053855
"91","ZACKENBERG:CASSIOPE_SITE_FLUX",74.47510333,-20.54284746
"92","ABISKO:PEATLAND",68.358087,18.812886
"93","ABISKO:ABISKODRY_PADDUS",68.1933,18.5115
"94","SADVENT:MES_POINTFRAME",78.19,15.93
"95","JAMESONLAND:COLORADO",71.58566298,-23.97807302
"96","JAMESONLAND:LODIN",71.39768296,-24.05517697
"97","JAMESONLAND:MAJOR",71.49365399,-24.34597897
"98","JAMESONLAND:TYSKIT",71.05257704,-24.225714
"99","LATNJA:POOR_HEATH",68.35,18.49
"100","LATNJA:RICH_MEADOW",68.35,18.65
"101","SADVENT:WET_POINTFRAME",78.1,16.04
"102","ZACKENBERG:CASSIOPE_SITE",74.47510333,-20.54284746
"103","TOOLIK:MOIST",68.62,-149.61
"104","KANGER:BASHFUL",67.10809,-50.3505
"105","KANGER:DOPEY",67.1103,-50.344
"106","KANGER:SNEEZY",67.11377,-50.337
"107","ZACKENBERG:ABRASION PLATEAU",74.47427,-20.52895
"108","ZACKENBERG:CASSIOPE TETRAGONA HEATH",74.47427,-20.52895
"109","ZACKENBERG:FEN",74.47427,-20.52895
"110","ZACKENBERG:GRASSLAND",74.47427,-20.52895
"111","ZACKENBERG:OPEN DRYAS VEGETATION",74.47427,-20.52895
"112","ZACKENBERG:SALIX ARCTICA SNOWBED",74.47427,-20.52895
"113","ZACKENBERG:VACCINIUM ULIGONOSUM HEATH",74.47427,-20.52895
"114","FINSE:NFINSE",60.61497203,7.5197935
"115","TOOLIK:DRY",68.62,-149.61
"116","TOOLIK:IMNAVAIT",68.62,-149.28
"117","TOOLIK:TUSSOCKGRID",68.62,-149.61
"118","ANWR:ATIGUN-A",68.4746405,-149.3521345
"119","ANWR:ATIGUN-B",68.4759725,-149.352222
"120","ANWR:ATIGUN-C",68.454758,-149.319503
"121","ANWR:JAGO-A",69.70312,-143.626875
"122","ANWR:JAGO-B",69.71159,-143.616045
"123","BROOKS:SHEEN-B",68.5734993,-143.7246513
"124","DARING:DARINGOTCB",64.86666667,-111.5666667
"125","DARING:DARINGOTCF",64.86666667,-111.5666667
"126","ENDALEN:BIS-H",78.18557,15.74496
"127","ENDALEN:CAS-H",78.18557,15.74496
"128","ENDALEN:DRY-H",78.18557,15.74496
"129","AUYUITTUQ:OWL RIVER",66.88,-64.69
"130","IGLOOLIK:IGLOOLIK",69.389,-81.53
"131","NARSARSUAQ:HIGH_ELEVATION",61.16,-45.4
"132","NUUK:KOBBEFJORD",64.1361,-51.3831
"133","QUTTINIRPAAQ:TANQUARY_FIORD",81.39631,-76.48755
"134","ATQASUK:AD",70.45373011,-157.4073879
"135","ATQASUK:AW",70.45303348,-157.4003018
"136","BARROW:BD",71.31502696,-156.6010247
"137","BARROW:BW",71.31051842,-156.5978987
"138","ATQASUK:AG",70.451449,-157.403942
"139","BARROW:BG",71.310312,-156.592799
"140","BYLOT:MESPRAIRIE",73.1399267,-79.9843858
"141","BYLOT:MESPOLYGON",73.1682958,-79.9044525
"142","ALEXFIORD:MEADOW",78.87558,-75.80909
"143","ALEXFIORD:WILLOW",78.87421,-75.79867
"144","ALEXFIORD:FERT",78.87107,-75.79107
"145","ALEXFIORD:DOMEGRANITE",78.86192,-75.90385
"146","ALEXFIORD:DOMEDOLOMITE",78.86221,-75.90053
"147","ALEXFIORD:DRYAS",78.8719,-75.7826
"148","ALEXFIORD:CASSIOPE",78.87448,-75.78341
"149","ENDALEN:DRY-L",78.18557,15.74496
"150","ENDALEN:CAS-L",78.18557,15.74496
"151","ENDALEN:BIS-L",78.18557,15.74496
"152","AUDKULUHEIDI:BETULAHEATH",65.21748,-19.71319
"153","THINGVELLIR:MOSS HEATH",64.28083,-21.06941
"154","QHI:HE",69.57488,-138.86347
"155","QHI:KO",69.57646,-138.86774
