"","x"
"413","AUYUITTUQ:OWL RIVER:11:2010"
"414","AUYUITTUQ:OWL RIVER:11:2014"
"415","AUYUITTUQ:OWL RIVER:11:2019"
"416","AUYUITTUQ:OWL RIVER:12:2010"
"417","AUYUITTUQ:OWL RIVER:12:2014"
"418","AUYUITTUQ:OWL RIVER:12:2019"
"419","AUYUITTUQ:OWL RIVER:13:2010"
"420","AUYUITTUQ:OWL RIVER:13:2014"
"421","AUYUITTUQ:OWL RIVER:13:2019"
"422","AUYUITTUQ:OWL RIVER:14:2010"
"423","AUYUITTUQ:OWL RIVER:14:2014"
"424","AUYUITTUQ:OWL RIVER:15:2010"
"425","AUYUITTUQ:OWL RIVER:15:2014"
"426","AUYUITTUQ:OWL RIVER:15:2019"
"427","IGLOOLIK:IGLOOLIK:3:2013"
"428","IGLOOLIK:IGLOOLIK:9:2013"
"429","QUTTINIRPAAQ:TANQUARY_FIORD:10:2012"
"430","QUTTINIRPAAQ:TANQUARY_FIORD:13:2013"
"431","QUTTINIRPAAQ:TANQUARY_FIORD:14:2013"
"432","QUTTINIRPAAQ:TANQUARY_FIORD:15:2013"
"433","QUTTINIRPAAQ:TANQUARY_FIORD:16:2013"
"434","QUTTINIRPAAQ:TANQUARY_FIORD:17:2013"
"435","QUTTINIRPAAQ:TANQUARY_FIORD:18:2013"
"436","QUTTINIRPAAQ:TANQUARY_FIORD:19:2013"
"437","QUTTINIRPAAQ:TANQUARY_FIORD:20:2013"
"438","ATQASUK:AW:AWC05:1997"
"439","ATQASUK:AW:AWC07:1997"
"440","ATQASUK:AW:AWC09:1997"
"441","ATQASUK:AW:AWC12:1997"
"442","ATQASUK:AW:AWC14:1997"
"443","ATQASUK:AW:AWC17:1997"
"444","ATQASUK:AW:AWC19:1997"
"445","ATQASUK:AW:AWC20:1997"
"446","ATQASUK:AW:AWC21:1997"
"447","ATQASUK:AW:AWC22:1997"
"448","ATQASUK:AW:AWC23:1997"
"449","ATQASUK:AW:AWC24:1997"
"450","ATQASUK:AW:AWC01:2000"
"451","ATQASUK:AW:AWC02:2000"
"452","ATQASUK:AW:AWC06:2000"
"453","ATQASUK:AW:AWC07:2000"
"454","ATQASUK:AW:AWC09:2000"
"455","ATQASUK:AW:AWC10:2000"
"456","ATQASUK:AW:AWC21:2000"
"457","ATQASUK:AW:AWC24:2000"
"458","ATQASUK:AW:AWC01:2007"
"459","ATQASUK:AW:AWC07:2007"
"460","ATQASUK:AW:AWC14:2007"
"461","ATQASUK:AW:AWC20:2007"
"462","ATQASUK:AW:AWC21:2007"
"463","ATQASUK:AW:AWC24:2007"
"464","ATQASUK:AW:AWC02:2012"
"465","ATQASUK:AW:AWC03:2012"
"466","ATQASUK:AW:AWC07:2012"
"467","ATQASUK:AW:AWC08:2012"
"468","ATQASUK:AW:AWC12:2012"
"469","ATQASUK:AW:AWC18:2012"
"470","ATQASUK:AW:AWC19:2012"
"471","ATQASUK:AW:AWC21:2012"
"472","ATQASUK:AW:AWC22:2012"
"473","ATQASUK:AW:AWC01:2017"
"474","ATQASUK:AW:AWC02:2017"
"475","ATQASUK:AW:AWC03:2017"
"476","ATQASUK:AW:AWC04:2017"
"477","ATQASUK:AW:AWC05:2017"
"478","ATQASUK:AW:AWC06:2017"
"479","ATQASUK:AW:AWC08:2017"
"480","ATQASUK:AW:AWC19:2017"
"481","ATQASUK:AW:AWC21:2017"
"482","ATQASUK:AW:AWC06:2019"
"483","ATQASUK:AW:AWC07:2019"
"484","ATQASUK:AW:AWC08:2019"
"485","BARROW:BW:BWC04:1996"
"486","BARROW:BW:BWC11:1996"
"487","BARROW:BW:BWC14:1996"
"488","BARROW:BW:BWC15:1996"
"489","BARROW:BW:BWC16:1996"
"490","BARROW:BW:BWC17:1996"
"491","BARROW:BW:BWC20:1996"
"492","BARROW:BW:BWC01:2000"
"493","BARROW:BW:BWC02:2000"
"494","BARROW:BW:BWC11:2000"
"495","BARROW:BW:BWC13:2000"
"496","BARROW:BW:BWC14:2000"
"497","BARROW:BW:BWC15:2000"
"498","BARROW:BW:BWC16:2000"
"499","BARROW:BW:BWC01:2008"
"500","BARROW:BW:BWC02:2008"
"501","BARROW:BW:BWC03:2008"
"502","BARROW:BW:BWC09:2008"
"503","BARROW:BW:BWC11:2008"
"504","BARROW:BW:BWC14:2008"
"505","BARROW:BW:BWC15:2008"
"506","BARROW:BW:BWC16:2008"
"507","BARROW:BW:BWC17:2008"
"508","BARROW:BW:BWC18:2008"
"509","BARROW:BW:BWC19:2008"
"510","BARROW:BW:BWC20:2008"
"511","BARROW:BW:BWC21:2008"
"512","BARROW:BW:BWC24:2008"
"513","BARROW:BW:BWC19:2012"
"514","BARROW:BW:BWC22:2012"
"515","BARROW:BW:BWC23:2012"
"516","BARROW:BW:BWC02:2019"
"517","BARROW:BW:BWC03:2019"
"518","BARROW:BW:BWC04:2019"
"519","ATQASUK:AG:AGCA08:2010"
"520","ATQASUK:AG:AGCB06:2010"
"521","ATQASUK:AG:AGCC02:2010"
"522","ATQASUK:AG:AGCC03:2010"
"523","ATQASUK:AG:AGCC04:2010"
"524","ATQASUK:AG:AGCC07:2010"
"525","ATQASUK:AG:AGCD09:2010"
"526","ATQASUK:AG:AGCE05:2010"
"527","ATQASUK:AG:AGCF03:2010"
"528","ATQASUK:AG:AGCF11:2010"
"529","ATQASUK:AG:AGCH05:2010"
"530","ATQASUK:AG:AGCH06:2010"
"531","ATQASUK:AG:AGCI05:2010"
"532","ATQASUK:AG:AGCI10:2010"
"533","ATQASUK:AG:AGCJ06:2010"
"534","ATQASUK:AG:AGCE05:2012"
"535","ATQASUK:AG:AGCF03:2012"
"536","ATQASUK:AG:AGCF04:2012"
"537","ATQASUK:AG:AGCG04:2012"
"538","ATQASUK:AG:AGCH05:2012"
"539","ATQASUK:AG:AGCJ06:2012"
"540","ATQASUK:AG:AGCA08:2013"
"541","ATQASUK:AG:AGCC02:2013"
"542","ATQASUK:AG:AGCC04:2013"
"543","ATQASUK:AG:AGCC06:2013"
"544","ATQASUK:AG:AGCC07:2013"
"545","ATQASUK:AG:AGCF11:2013"
"546","ATQASUK:AG:AGCI10:2013"
"547","ATQASUK:AG:AGCB05:2013"
"548","ATQASUK:AG:AGCD09:2013"
"549","ATQASUK:AG:AGCE05:2013"
"550","ATQASUK:AG:AGCF03:2013"
"551","ATQASUK:AG:AGCF04:2013"
"552","ATQASUK:AG:AGCH05:2013"
"553","ATQASUK:AG:AGCJ06:2013"
"554","ATQASUK:AG:AGCG04:2013"
"555","ATQASUK:AG:AGCI02:2013"
"556","ATQASUK:AG:AGCE05:2014"
"557","ATQASUK:AG:AGCF03:2014"
"558","ATQASUK:AG:AGCF04:2014"
"559","ATQASUK:AG:AGCG04:2014"
"560","ATQASUK:AG:AGCH05:2014"
"561","ATQASUK:AG:AGCI02:2014"
"562","ATQASUK:AG:AGCJ06:2014"
"563","ATQASUK:AG:AGCE05:2015"
"564","ATQASUK:AG:AGCF03:2015"
"565","ATQASUK:AG:AGCF04:2015"
"566","ATQASUK:AG:AGCG04:2015"
"567","ATQASUK:AG:AGCH05:2015"
"568","ATQASUK:AG:AGCI02:2015"
"569","ATQASUK:AG:AGCI05:2015"
"570","ATQASUK:AG:AGCJ06:2015"
"571","ATQASUK:AG:AGCB05:2016"
"572","ATQASUK:AG:AGCC07:2016"
"573","ATQASUK:AG:AGCD09:2016"
"574","ATQASUK:AG:AGCE05:2016"
"575","ATQASUK:AG:AGCE08:2016"
"576","ATQASUK:AG:AGCF11:2016"
"577","ATQASUK:AG:AGCF07:2016"
"578","ATQASUK:AG:AGCF04:2016"
"579","ATQASUK:AG:AGCF03:2016"
"580","ATQASUK:AG:AGCG04:2016"
"581","ATQASUK:AG:AGCH05:2016"
"582","ATQASUK:AG:AGCI02:2016"
"583","ATQASUK:AG:AGCI05:2016"
"584","ATQASUK:AG:AGCJ06:2016"
"585","ATQASUK:AG:AGCF02:2016"
"586","ATQASUK:AG:AGCF03:2017"
"587","ATQASUK:AG:AGCF04:2017"
"588","ATQASUK:AG:AGCH05:2017"
"589","ATQASUK:AG:AGCI05:2017"
"590","ATQASUK:AG:AGCG04:2017"
"591","ATQASUK:AG:AGCJ06:2017"
"592","ATQASUK:AG:AGCI02:2017"
"593","ATQASUK:AG:AGCE05:2017"
"594","ATQASUK:AG:AGCG04:2018"
"595","ATQASUK:AG:AGCE05:2018"
"596","ATQASUK:AG:AGCF02:2018"
"597","ATQASUK:AG:AGCI02:2018"
"598","ATQASUK:AG:AGCH05:2018"
"599","ATQASUK:AG:AGCF04:2018"
"600","ATQASUK:AG:AGCJ06:2018"
"601","ATQASUK:AG:AGCI05:2018"
"602","ATQASUK:AG:AGCF03:2018"
"603","ATQASUK:AG:AGCA08:2019"
"604","ATQASUK:AG:AGCB05:2019"
"605","ATQASUK:AG:AGCC07:2019"
"606","ATQASUK:AG:AGCC06:2019"
"607","ATQASUK:AG:AGCC04:2019"
"608","ATQASUK:AG:AGCC03:2019"
"609","ATQASUK:AG:AGCC02:2019"
"610","ATQASUK:AG:AGCD09:2019"
"611","ATQASUK:AG:AGCE05:2019"
"612","ATQASUK:AG:AGCF03:2019"
"613","ATQASUK:AG:AGCF04:2019"
"614","ATQASUK:AG:AGCF11:2019"
"615","ATQASUK:AG:AGCG04:2019"
"616","ATQASUK:AG:AGCH05:2019"
"617","ATQASUK:AG:AGCI10:2019"
"618","ATQASUK:AG:AGCI02:2019"
"619","ATQASUK:AG:AGCJ06:2019"
"620","BARROW:BG:BGCB11:2010"
"621","BARROW:BG:BGCC11:2010"
"622","BARROW:BG:BGCE11:2010"
"623","BARROW:BG:BGCG11:2010"
"624","BARROW:BG:BGCI11:2010"
"625","BARROW:BG:BGCB10:2010"
"626","BARROW:BG:BGCE10:2010"
"627","BARROW:BG:BGCI10:2010"
"628","BARROW:BG:BGCJ10:2010"
"629","BARROW:BG:BGCC09:2010"
"630","BARROW:BG:BGCD09:2010"
"631","BARROW:BG:BGCH09:2010"
"632","BARROW:BG:BGCI09:2010"
"633","BARROW:BG:BGCJ09:2010"
"634","BARROW:BG:BGCK09:2010"
"635","BARROW:BG:BGCC08:2010"
"636","BARROW:BG:BGCD08:2010"
"637","BARROW:BG:BGCH08:2010"
"638","BARROW:BG:BGCI08:2010"
"639","BARROW:BG:BGCK08:2010"
"640","BARROW:BG:BGCG07:2010"
"641","BARROW:BG:BGCH07:2010"
"642","BARROW:BG:BGCI07:2010"
"643","BARROW:BG:BGCJ07:2010"
"644","BARROW:BG:BGCD06:2010"
"645","BARROW:BG:BGCH06:2010"
"646","BARROW:BG:BGCJ06:2010"
"647","BARROW:BG:BGCK06:2010"
"648","BARROW:BG:BGCC05:2010"
"649","BARROW:BG:BGCD05:2010"
"650","BARROW:BG:BGCJ05:2010"
"651","BARROW:BG:BGCH04:2010"
"652","BARROW:BG:BGCJ04:2010"
"653","BARROW:BG:BGCK04:2010"
"654","BARROW:BG:BGCB03:2010"
"655","BARROW:BG:BGCE03:2010"
"656","BARROW:BG:BGCF03:2010"
"657","BARROW:BG:BGCG03:2010"
"658","BARROW:BG:BGCI03:2010"
"659","BARROW:BG:BGCJ03:2010"
"660","BARROW:BG:BGCC02:2010"
"661","BARROW:BG:BGCE02:2010"
"662","BARROW:BG:BGCF02:2010"
"663","BARROW:BG:BGCG02:2010"
"664","BARROW:BG:BGCH02:2010"
"665","BARROW:BG:BGCI02:2010"
"666","BARROW:BG:BGCJ02:2010"
"667","BARROW:BG:BGCD06:2012"
"668","BARROW:BG:BGCD07:2012"
"669","BARROW:BG:BGCE03:2012"
"670","BARROW:BG:BGCG02:2012"
"671","BARROW:BG:BGCG03:2012"
"672","BARROW:BG:BGCG06:2012"
"673","BARROW:BG:BGCG07:2012"
"674","BARROW:BG:BGCH02:2012"
"675","BARROW:BG:BGCH06:2012"
"676","BARROW:BG:BGCH07:2012"
"677","BARROW:BG:BGCD07:2013"
"678","BARROW:BG:BGCH07:2013"
"679","BARROW:BG:BGCE03:2013"
"680","BARROW:BG:BGCE02:2013"
"681","BARROW:BG:BGCG02:2013"
"682","BARROW:BG:BGCG07:2013"
"683","BARROW:BG:BGCG06:2013"
"684","BARROW:BG:BGCG03:2013"
"685","BARROW:BG:BGCH02:2013"
"686","BARROW:BG:BGCD11:2013"
"687","BARROW:BG:BGCB10:2013"
"688","BARROW:BG:BGCG09:2013"
"689","BARROW:BG:BGCK08:2013"
"690","BARROW:BG:BGCB07:2013"
"691","BARROW:BG:BGCI07:2013"
"692","BARROW:BG:BGCJ07:2013"
"693","BARROW:BG:BGCK06:2013"
"694","BARROW:BG:BGCI03:2013"
"695","BARROW:BG:BGCJ03:2013"
"696","BARROW:BG:BGCC11:2013"
"697","BARROW:BG:BGCE11:2013"
"698","BARROW:BG:BGCG11:2013"
"699","BARROW:BG:BGCH11:2013"
"700","BARROW:BG:BGCI11:2013"
"701","BARROW:BG:BGCF10:2013"
"702","BARROW:BG:BGCI10:2013"
"703","BARROW:BG:BGCH09:2013"
"704","BARROW:BG:BGCI09:2013"
"705","BARROW:BG:BGCC06:2013"
"706","BARROW:BG:BGCI06:2013"
"707","BARROW:BG:BGCJ06:2013"
"708","BARROW:BG:BGCC05:2013"
"709","BARROW:BG:BGCJ05:2013"
"710","BARROW:BG:BGCB04:2013"
"711","BARROW:BG:BGCI04:2013"
"712","BARROW:BG:BGCB03:2013"
"713","BARROW:BG:BGCI02:2013"
"714","BARROW:BG:BGCJ02:2013"
"715","BARROW:BG:BGCJ10:2013"
"716","BARROW:BG:BGCC09:2013"
"717","BARROW:BG:BGCD09:2013"
"718","BARROW:BG:BGCC08:2013"
"719","BARROW:BG:BGCH08:2013"
"720","BARROW:BG:BGCI08:2013"
"721","BARROW:BG:BGCJ08:2013"
"722","BARROW:BG:BGCJ04:2013"
"723","BARROW:BG:BGCK04:2013"
"724","BARROW:BG:BGCK02:2013"
"725","BARROW:BG:BGCH10:2013"
"726","BARROW:BG:BGCD06:2014"
"727","BARROW:BG:BGCD07:2014"
"728","BARROW:BG:BGCE02:2014"
"729","BARROW:BG:BGCE03:2014"
"730","BARROW:BG:BGCG02:2014"
"731","BARROW:BG:BGCG03:2014"
"732","BARROW:BG:BGCG06:2014"
"733","BARROW:BG:BGCG07:2014"
"734","BARROW:BG:BGCH02:2014"
"735","BARROW:BG:BGCH04:2014"
"736","BARROW:BG:BGCH07:2014"
"737","BARROW:BG:BGCD05:2015"
"738","BARROW:BG:BGCD06:2015"
"739","BARROW:BG:BGCD07:2015"
"740","BARROW:BG:BGCE02:2015"
"741","BARROW:BG:BGCE03:2015"
"742","BARROW:BG:BGCG02:2015"
"743","BARROW:BG:BGCG03:2015"
"744","BARROW:BG:BGCG06:2015"
"745","BARROW:BG:BGCG07:2015"
"746","BARROW:BG:BGCH02:2015"
"747","BARROW:BG:BGCH04:2015"
"748","BARROW:BG:BGCH07:2015"
"749","BARROW:BG:BGCB07:2016"
"750","BARROW:BG:BGCB06:2016"
"751","BARROW:BG:BGCC06:2016"
"752","BARROW:BG:BGCB04:2016"
"753","BARROW:BG:BGCG11:2016"
"754","BARROW:BG:BGCE11:2016"
"755","BARROW:BG:BGCD11:2016"
"756","BARROW:BG:BGCC11:2016"
"757","BARROW:BG:BGCG06:2016"
"758","BARROW:BG:BGCI06:2016"
"759","BARROW:BG:BGCB08:2016"
"760","BARROW:BG:BGCI04:2016"
"761","BARROW:BG:BGCJ04:2016"
"762","BARROW:BG:BGCK04:2016"
"763","BARROW:BG:BGCJ03:2016"
"764","BARROW:BG:BGCI03:2016"
"765","BARROW:BG:BGCG03:2016"
"766","BARROW:BG:BGCE03:2016"
"767","BARROW:BG:BGCC02:2016"
"768","BARROW:BG:BGCE02:2016"
"769","BARROW:BG:BGCG02:2016"
"770","BARROW:BG:BGCH02:2016"
"771","BARROW:BG:BGCI02:2016"
"772","BARROW:BG:BGCJ02:2016"
"773","BARROW:BG:BGCK02:2016"
"774","BARROW:BG:BGCB10:2016"
"775","BARROW:BG:BGCC05:2016"
"776","BARROW:BG:BGCC08:2016"
"777","BARROW:BG:BGCC09:2016"
"778","BARROW:BG:BGCC10:2016"
"779","BARROW:BG:BGCD07:2016"
"780","BARROW:BG:BGCD09:2016"
"781","BARROW:BG:BGCD10:2016"
"782","BARROW:BG:BGCF04:2016"
"783","BARROW:BG:BGCF10:2016"
"784","BARROW:BG:BGCG05:2016"
"785","BARROW:BG:BGCG07:2016"
"786","BARROW:BG:BGCG09:2016"
"787","BARROW:BG:BGCH07:2016"
"788","BARROW:BG:BGCH08:2016"
"789","BARROW:BG:BGCH10:2016"
"790","BARROW:BG:BGCI05:2016"
"791","BARROW:BG:BGCI07:2016"
"792","BARROW:BG:BGCI08:2016"
"793","BARROW:BG:BGCI09:2016"
"794","BARROW:BG:BGCI10:2016"
"795","BARROW:BG:BGCJ05:2016"
"796","BARROW:BG:BGCJ06:2016"
"797","BARROW:BG:BGCJ07:2016"
"798","BARROW:BG:BGCJ08:2016"
"799","BARROW:BG:BGCJ10:2016"
"800","BARROW:BG:BGCK06:2016"
"801","BARROW:BG:BGCK08:2016"
"802","BARROW:BG:BGCH09:2016"
"803","BARROW:BG:BGCD07:2017"
"804","BARROW:BG:BGCG02:2017"
"805","BARROW:BG:BGCH07:2017"
"806","BARROW:BG:BGCH04:2017"
"807","BARROW:BG:BGCG06:2017"
"808","BARROW:BG:BGCG07:2017"
"809","BARROW:BG:BGCG03:2017"
"810","BARROW:BG:BGCG05:2017"
"811","BARROW:BG:BGCE03:2017"
"812","BARROW:BG:BGCD07:2018"
"813","BARROW:BG:BGCF07:2018"
"814","BARROW:BG:BGCD05:2018"
"815","BARROW:BG:BGCG06:2018"
"816","BARROW:BG:BGCF04:2018"
"817","BARROW:BG:BGCE03:2018"
"818","BARROW:BG:BGCF03:2018"
"819","BARROW:BG:BGCE02:2018"
"820","BARROW:BG:BGCG02:2018"
"821","BARROW:BG:BGCG03:2018"
"822","BARROW:BG:BGCH02:2018"
"823","BARROW:BG:BGCH07:2018"
"824","BARROW:BG:BGCG07:2018"
"825","BARROW:BG:BGCI11:2019"
"826","BARROW:BG:BGCH11:2019"
"827","BARROW:BG:BGCC11:2019"
"828","BARROW:BG:BGCB10:2019"
"829","BARROW:BG:BGCD10:2019"
"830","BARROW:BG:BGCE10:2019"
"831","BARROW:BG:BGCH10:2019"
"832","BARROW:BG:BGCI10:2019"
"833","BARROW:BG:BGCJ10:2019"
"834","BARROW:BG:BGCJ09:2019"
"835","BARROW:BG:BGCI09:2019"
"836","BARROW:BG:BGCH09:2019"
"837","BARROW:BG:BGCG09:2019"
"838","BARROW:BG:BGCD09:2019"
"839","BARROW:BG:BGCC09:2019"
"840","BARROW:BG:BGCB08:2019"
"841","BARROW:BG:BGCC08:2019"
"842","BARROW:BG:BGCD08:2019"
"843","BARROW:BG:BGCH08:2019"
"844","BARROW:BG:BGCI08:2019"
"845","BARROW:BG:BGCJ08:2019"
"846","BARROW:BG:BGCK08:2019"
"847","BARROW:BG:BGCJ07:2019"
"848","BARROW:BG:BGCI07:2019"
"849","BARROW:BG:BGCH07:2019"
"850","BARROW:BG:BGCG07:2019"
"851","BARROW:BG:BGCF07:2019"
"852","BARROW:BG:BGCD07:2019"
"853","BARROW:BG:BGCB07:2019"
"854","BARROW:BG:BGCC06:2019"
"855","BARROW:BG:BGCD06:2019"
"856","BARROW:BG:BGCF06:2019"
"857","BARROW:BG:BGCG06:2019"
"858","BARROW:BG:BGCH06:2019"
"859","BARROW:BG:BGCI06:2019"
"860","BARROW:BG:BGCJ06:2019"
"861","BARROW:BG:BGCK06:2019"
"862","BARROW:BG:BGCJ05:2019"
"863","BARROW:BG:BGCG05:2019"
"864","BARROW:BG:BGCD05:2019"
"865","BARROW:BG:BGCC05:2019"
"866","BARROW:BG:BGCB04:2019"
"867","BARROW:BG:BGCF04:2019"
"868","BARROW:BG:BGCI04:2019"
"869","BARROW:BG:BGCJ04:2019"
"870","BARROW:BG:BGCJ03:2019"
"871","BARROW:BG:BGCI03:2019"
"872","BARROW:BG:BGCG03:2019"
"873","BARROW:BG:BGCE03:2019"
"874","BARROW:BG:BGCB03:2019"
"875","BARROW:BG:BGCC02:2019"
"876","BARROW:BG:BGCG02:2019"
"877","BARROW:BG:BGCH02:2019"
"878","BARROW:BG:BGCI02:2019"
"879","BARROW:BG:BGCJ02:2019"
"880","BARROW:BG:BGCK02:2019"
"881","BARROW:BG:BGCG11:2019"
"882","BARROW:BG:BGCE11:2019"
"883","BARROW:BG:BGCD11:2019"
"884","THINGVELLIR:MOSS HEATH:4:1998"
"885","THINGVELLIR:MOSS HEATH:7:1998"
"886","THINGVELLIR:MOSS HEATH:9:1998"
"887","THINGVELLIR:MOSS HEATH:10:1998"
"888","QHI:HE:3:1999"
"889","QHI:HE:4:1999"
"890","QHI:HE:6:1999"
"891","QHI:HE:4:2004"
"892","QHI:HE:6:2004"
"893","QHI:HE:3:2009"
"894","QHI:HE:4:2009"
"895","QHI:HE:5:2009"
"896","QHI:HE:6:2009"
"897","QHI:HE:4:2014"
"898","QHI:HE:6:2014"
"899","QHI:HE:4:2015"
"900","QHI:HE:5:2015"
"901","QHI:HE:6:2015"
"902","QHI:HE:4:2013"
"903","QHI:HE:4:2016"
"904","QHI:HE:6:2016"
"905","QHI:HE:4:2017"
"906","QHI:HE:5:2017"
"907","QHI:HE:6:2017"
"908","QHI:HE:4:2018"
"909","QHI:HE:5:2018"
"910","QHI:HE:4:2019"
"911","QHI:HE:5:2019"
"912","QHI:HE:6:2019"
"913","QHI:KO:5:1999"
"914","QHI:KO:6:2004"
"915","QHI:KO:6:2009"
"916","QHI:KO:4:2009"
"917","QHI:KO:3:2009"
"918","QHI:KO:2:2009"
"919","QHI:KO:1:2009"
"920","QHI:HE:5:2022"
